Model Name,Threshold,Precision,Recall,F1 Score,ROC AUC,Jaccard Score,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN),Total Savings ($),Cost of Operation ($),Net Savings ($)
Tuned XGBoost ADASYN (20 Features),0.95,0.2695417789757412,0.9324009324009324,0.4181913225300575,0.9959701477214945,0.26437541308658297,2000,5420,548154,145,200000,68700,131300
Tuned XGBoost ADASYN (20 Features),0.98,0.3479349186483104,0.9072261072261072,0.5029723442750065,0.9959701477214945,0.33598066298342544,1946,3647,549927,199,194600,56370,138230
Tuned XGBoost ADASYN (20 Features),0.99,0.42332517249054086,0.8867132867132868,0.5730641759566134,0.9959701477214945,0.4016047297297297,1902,2591,550983,243,190200,50210,139990
Base Stacking Classifiers (20 Features),0.02,0.35144927536231885,0.9496503496503497,0.5130336229693994,0.9975789677390546,0.34502032520325204,2037,3759,549815,108,203700,48390,155310
Base Stacking Classifiers (20 Features),0.1,0.4430046123435098,0.9403263403263403,0.6022693341295909,0.9975789677390546,0.4308908352916044,2017,2536,551038,128,201700,38160,163540
Base Stacking Classifiers (20 Features),0.2,0.49825523429710866,0.931934731934732,0.6493422121162904,0.9975789677390546,0.4807599807599808,1999,2013,551561,146,199900,34730,165170
Base Stacking Classifiers (20 Features),0.30000000000000004,0.5470702582615941,0.9184149184149184,0.685694396101636,0.9975789677390546,0.5217161016949152,1970,1631,551943,175,197000,33810,163190
Base Stacking Classifiers (20 Features),0.4,0.5999384046812443,0.9081585081585082,0.7225519287833828,0.9975789677390546,0.5656213704994193,1948,1299,552275,197,194800,32690,162110
Base Stacking Classifiers (20 Features),0.5,0.6612230715774844,0.8871794871794871,0.7577145132391001,0.9975789677390546,0.6099358974358975,1903,975,552599,242,190300,33950,156350
Base Stacking Classifiers (20 Features),0.6,0.7220459952418715,0.848951048951049,0.7803728305121063,0.9975789677390546,0.6398453970484891,1821,701,552873,324,182100,39410,142690
Base Stacking Classifiers (20 Features),0.7000000000000001,0.8413555992141454,0.7986013986013986,0.819421191102607,0.9975789677390546,0.6940842787682334,1713,323,553251,432,171300,46430,124870
Tuned Stacking Classifiers ADASYN (20 Features),0.02,0.2872400224845419,0.9529137529137529,0.4414210128495843,0.9976910173275971,0.2832201745877789,2044,5072,548502,101,204400,60820,143580
Tuned Stacking Classifiers ADASYN (20 Features),0.1,0.3953764078245406,0.9328671328671329,0.5553705245628643,0.9976910173275971,0.38443804034582135,2001,3060,550514,144,200100,45000,155100
Tuned Stacking Classifiers ADASYN (20 Features),0.2,0.4454443194600675,0.9230769230769231,0.6009104704097117,0.9976910173275971,0.42950108459869846,1980,2465,551109,165,198000,41150,156850
Tuned Stacking Classifiers ADASYN (20 Features),0.30000000000000004,0.4805860805860806,0.9174825174825175,0.6307692307692307,0.9976910173275971,0.4606741573033708,1968,2127,551447,177,196800,38970,157830
Tuned Stacking Classifiers ADASYN (20 Features),0.4,0.5065874451046242,0.9142191142191142,0.6519281914893617,0.9976910173275971,0.48360049321824905,1961,1910,551664,184,196100,37500,158600
Tuned Stacking Classifiers ADASYN (20 Features),0.5,0.5305955942344303,0.9095571095571096,0.6702164204740639,0.9976910173275971,0.5040041332988892,1951,1726,551848,194,195100,36660,158440
Tuned Stacking Classifiers ADASYN (20 Features),0.6,0.5543135568930926,0.9016317016317016,0.6865459708910188,0.9976910173275971,0.5227027027027027,1934,1555,552019,211,193400,36650,156750
Tuned Stacking Classifiers ADASYN (20 Features),0.7000000000000001,0.5772699939867709,0.8951048951048951,0.7018826539937855,0.9976910173275971,0.5406927626020839,1920,1406,552168,225,192000,36560,155440
Tuned Stacking Classifiers ADASYN (20 Features),0.8,0.6077682266794014,0.88997668997669,0.7222852818766553,0.9976910173275971,0.565294640213207,1909,1232,552342,236,190900,35920,154980
Tuned Stacking Classifiers ADASYN (20 Features),0.9,0.6476683937823834,0.8741258741258742,0.7440476190476191,0.9976910173275971,0.5924170616113744,1875,1020,552554,270,187500,37200,150300
Tuned Stacking Classifiers ADASYN (20 Features),0.95,0.6931775348661893,0.8573426573426574,0.7665694039182993,0.9976910173275971,0.6214937478878,1839,814,552760,306,183900,38740,145160
Tuned Stacking Classifiers ADASYN (20 Features),0.98,0.7457556935817805,0.8396270396270397,0.7899122807017543,0.9976910173275971,0.6527727437477346,1801,614,552960,344,180100,40540,139560
Tuned Stacking Classifiers ADASYN (20 Features),0.99,0.7820627802690583,0.813053613053613,0.7972571428571429,0.9976910173275971,0.6628658304827062,1744,486,553088,401,174400,44960,129440
Base XGBoost (50 Features),0.02,0.41372226787181593,0.938927738927739,0.5743618993298161,0.9974852790246937,0.40288057611522304,2014,2854,550720,131,201400,41640,159760
Base XGBoost (50 Features),0.1,0.7,0.8680652680652681,0.7750260145681581,0.9974852790246937,0.6326877336051648,1862,798,552776,283,186200,36280,149920
Base XGBoost (50 Features),0.2,0.8080397470641373,0.8340326340326341,0.8208304657031429,0.9974852790246937,0.6961089494163424,1789,425,553149,356,178900,39850,139050
